"","X[[i]]"
"370","rt  for sale gt going fast gt sold gt   bought amp paid for by   tcoezkmtc htt"
"371","amazing              tcoidoeghhlfm"
"372","rt  sad that theyre trolling   they must be ok with all her crimes lies amp scandals   http"
"373","rt  when  stands up against democracy its with the help of  tc"
"374","rt  the  is under fire for shoddy  story tcoaqxytthih"
"375","dark lord hacked documents reveal magnitude of s influence tcobiiotrrsk via   "
"376","rt  secret service confirms  has parkinsons disease tcovormcdakr    http"
"377","rt   funds  campaign        tco"
"378","rt   now cutting hair at her rallies supercuts was nice to supply her with their official garb  htt"
"379","  time to start hitting trump on his taxes and money from foreign sources"
"380","our government is like an immune system gone rogue attacking its citizens with   and   to take it back"
"381","   more i half expect something so damming to come out that  quits and  steps in"
"382","rt   published  docs id given them     tcotx"
"383","rt  how can people not see how scary  is tcohkyifzk"
"384","rt   now cutting hair at her rallies supercuts was nice to supply her with their official garb  htt"
"385","rt  wow    looks really happy that you gave her your dick in a box   tcouoousniii"
"386","rt  these two critical swing states are quickly shifting toward  tcouugizybs tcomztxz"
"387","rt    refuses to release names of  secret foreign donors  breitbart t"
"388","rt   got  million from muslim terror sponsorsshes paid to sacrifice us citizens to islamists"
"389","rt           democrats make it possible "
"390","rt   foundation put on watch list of suspicious charities  breitbart tcojnareeiv"
"391","rt  the  is under fire for shoddy  story tcoaqxytthih"
"392","rt   confirms daily she is a liar and a hypocrite mind blowing her sheep dont see it tcowugvqrlxq"
"393","rt  for sale gt going fast gt sold gt   bought amp paid for by   tcoezkmtc htt"
"394","rt  easy debate guide to   tcoojiixeaz official   site  still up "
"395","rt           democrats make it possible "
"396"," ideashow hillary barkingseizurefallingshort circuit commentfbi addressing her liesshe didnt lie she short circuited"
"397","rt    refuses to release names of  secret foreign donors  breitbart t"
"398","why did  ax her rallies tcopcodgsmlq      "
"399","rt    foundation received million in donations from hsbc swiss bank    of many "
"400","rt  fbi director comey corruptionlet the  attack conservativesfailed to put  under oathconspired"
"401"," if african americans latinos jews and muslims all vote for  the alt right votes wont matter  "
"402","rt  these two critical swing states are quickly shifting toward  tcouugizybs tcomztxz"
"403","rt    refuses to release names of  secret foreign donors  breitbart t"
"404","rt  the new york times and trumps loopy note from his doctor tcodvynmgpr   "
"405","rt   amp  justin timberlake and other celebrities raised m for  tcoyvwk"
"406","rt           democrats make it possible "
"407","rt   new revelations show a nation for sale under   attn    tcow"
"408","you will never get fired for supporting hillary    tcokgqsoibsh tcosjatmmbw"
"409",NA
"410","rt  flashback  refers to black americans as super predatorswhy would any black person vote for herh"
"411","rt  retweet  if youve never heard a more orwellian defense of  wow tcoraknpjmcs"
"412","tell you what lets cancel this election and start again   "
"413","rt  even  supporters have to be embarrassed by the depth of corruption she brought to the state dept"
"414","rt  the cheater  is trying to convince us that she is fit for office  i dont believe her  ht"
"415"," is the woman whose life was ruined by  lets help her out tcohufzfnu"
"416","rt  the new york times and trumps loopy note from his doctor tcodvynmgpr   "
"417","  records leaked tcoxzijmooy is getting desperate lol    "
"418","rt    refuses to release names of  secret foreign donors  breitbart t"
"419","rt  ampareofamp"
"420",NA
"421","rt    foundation investigation update key details about financial and political dealings "
"422","rt  dear  and  dont let the facts get in the way of another good rwnj fake  scandal  tcoytbw"
"423","fbi director comey corruptionlet the  attack conservativesfailed to put  under oathconspired to allow her felonies"
"424","rt           democrats make it possible "
"425","rt    foundation received million in donations from hsbc swiss bank    of many "
"426","globalists amp corporations paid sec state  millions via  to meet with her huma was gatekeeper "
"427","rt   new revelations show a nation for sale under   attn    tcow"
"428","rt    voters she follows want  people beheaded amp raped when will media make  disavow t"
"429","help kathy shelton fund this is the woman  ruined her life tcohufzfnu"
"430","a must readall the way to the end of the thread     tcovehzimrl"
"431","rt  proof that lying is profitable just ask  tcoxakxnmoedy"
"432","rt  breaking  in  are mobilizing in groups to warn people about  rt   "
"433","rt  retweet  if youve never heard a more orwellian defense of  wow tcoraknpjmcs"
"434","rt  new details surface about s top aide amp her ties to radical muslim journal tcotzwzubgg tc"
"435","rt  so in a nutshell s initiative on  amp    tcooeiqxswn tcobbesumkb"
"436","rt           democrats make it possible "
"437","rt   leads by  points in latest august poll tcoewsbbkgrq  tcoixiglafc"
"438","rt           democrats make it possible "
"439","rt  breaking  in  are mobilizing in groups to warn people about  rt   "
"440","i keep waiting for a live linkup to a  rally but its just not happening why "
"441","when youre down on yourself and when you are hunkering down and pulling back youre not    tcowtsnfdqb"
"442","the health problem  actually has tcozdbqxkpgt"
"443","rt     now  lie in writing tcosasyoagt"
"444","proof that lying is profitable just ask  tcoxakxnmoedy"
"445","rt   new revelations show a nation for sale under   attn    tcow"
"446","rt   amp  justin timberlake and other celebrities raised m for  tcoyvwk"
"447","rt   analyst accuses bill and  of monumental charity   your news wire  t"
"448","rt  how  deals with potential witnesses   tc"
"449","rt   foundation put on watch list of suspicious charities  breitbart tcojnareeiv"
"450"," has only opened the door to  if we elect    president the door will be forever opened time  rise up "
"451","rt   now cutting hair at her rallies supercuts was nice to supply her with their official garb  htt"
"452","rt  yet somehow the media and doj look the other way  tcowbsoiqwjo "
"453","rt           democrats make it possible "
"454","rt   americans deserve a presidential debate w all candidates     htt"
"455","rt   confirms daily she is a liar and a hypocrite mind blowing her sheep dont see it tcowugvqrlxq"
"456","rt  retweet  if youve never heard a more orwellian defense of  wow tcoraknpjmcs"
"457","rt           democrats make it possible "
"458","im convinced the celebrities who endorse  are all paid in cash like the  "
