"","X[[i]]"
"3911","love how more people care about  than  being completely corrupt"
"3912","rt            clinton cash  tcort"
"3913","hes right youve got to get out and vote for    tcojqkohy"
"3914","rt  anyone else think the  guy in the middle is a mix of  amp      "
"3915","rt  how can people not see how scary  is tcohkyifzk"
"3916","rt  the  is under fire for shoddy  story tcoaqxytthih"
"3917","rt  racist  pivots back at the waist to create maximum physical space between herself and a black man htt"
"3918","rt  who will you be voting for nov th      "
"3919","rt   analyst accuses bill and  of monumental charity   your news wire  t"
"3920","rt  will  purposely screw the very people that give her millions    h"
"3921","  yikes  "
"3922","rt   the american people are tired of liars and people who pretend to be something theyre not t"
"3923","more leaked  emails show troubling pattern with  not braking the law but not good tcozvzckyni"
"3924","rt  in costcutting measure  will now broadcast directly from s house not sure which house yet rt ht"
"3925"," i would never kid myself she will sell the wh if we allow her back in  "
"3926","rt   thinks both  amp  should release medical records one has amp the other is  tc"
"3927","if elected  will show us what evil really is what we know now is just tip of the iceberg   "
"3928"," ampteam are addicted to telling laughable falsehoodsamphalftruthsit allows  to skip by real questions "
"3929","yells allahu akbarstabs woman to deatha vote for hillary is a vote for atrocity tcoxqoxllrjch"
"3930"," impeach  asap please i knowjumping the gun a bit but no reason congress shouldt be prepared"
"3931","rt   did  abide by ethics pledge on  tconukyjubwz  "
"3932"," think  will win in a landslide dont bet on it tcoscxcwhbbb   "
"3933","racist  pivots back at the waist to create maximum physical space between herself and a black man tcobxqlrr"
"3934","rt    to be unfollowed by about a thousand or so people is a   w some form"
"3935","donald trump in tampa fl tcomroztuwwo      "
"3936","rt  bought and paid for   tcolhvbho"
"3937","  wants to raise taxes and send jobs to other countries we are going to cut taxes dramatically"
"3938","rt   omg  you have got to be joking"
"3939"," i will do everything i can to stop  who owns    amp they say shes above the law not okay in anyway"
"3940","if pharmaceutical firms were not so greedy the gates amp clinton foundations would be less essential   "
"3941","will the american people buy what  and the democrats are selling tcosgurpg"
"3942","rt  rtsee  in   am thu aug    "
"3943","no probably just mr exit stage right on november th      tcoxorzspbwn"
"3944","rt   is bleeding  death  is a dirty spank rag amp  is a tourniquet which r u gonna pick"
"3945","rt  how can people not see how scary  is tcohkyifzk"
"3946"," foundation put on watch list of suspicious charities  breitbart tcojnareeiv"
"3947"," i for one would like to read the text of your speeches to goldman sachs and i believe many voters agree with me august "
"3948","rt   is nixon of the st century tcolpnuyfocka     t"
"3949","rt  payforplay hillary      tcoswmozplw tco"
"3950"," i think  is a crook tcoynzsceyau via   "
"3951","rt  will  purposely screw the very people that give her millions    h"
"3952","rt   is coming  you will have nowhere to hide after  months wo a press conf  trump will shred u http"
"3953","technically illegal or not whether a prosecutor would indict or not the   scandal should cost her the presidency"
"3954","i give strength to her i bless her with peace  jesus christ "
"3955","rt  criminals shouldnt be eligible for presidency   "
"3956","rt  new details surface about s top aide amp her ties to radical muslim journal tcotzwzubgg tc"
"3957","  tried to frame an innocent black man colin powell for her email screwups"
"3958"," followers tcoiokalsjtfk"
"3959","under  black homeownership is down over  nurse ratchets will not be an improvement marinate"
"3960","ap story states that  was a board member right thru to while she was sec of state y no report on that "
"3961","rt  nuclear war  says s people have been trying to pin email scandal on him tcoushlkbuv"
"3962","hiding  day   tcoqadatoq via "
"3963","rt  how  deals with potential witnesses   tc"
"3964"," protest  s office billions stolen tcodeohuzmn this is how she treats blacks globally  "
"3965","rt  raising money for   sounds off and not just about trumptcollxeyfwghw  "
"3966","rt    helps a bankand then it funnels millions to the     t"
"3967"," last time a drug boss done that the irs went to town on thembut this one is a friend of  so"
"3968","  is the worst  candidate ever nominated tcoyozysa audio "
"3969","we agree w dream it build it  initiative is open for application tcoauirqyejq tcoavfjet"
"3970","        unbelievable tcottesqicxei"
"3971","rt            clinton cash  tcokx"
"3972","rt   analyst accuses bill and  of monumental charity   your news wire  t"
"3973","total  gt s fundraisers no  allowed tcohxbmrnnuy"
"3974"," what the  party doesnt want americans to know tcocddutwhsc"
"3975","rt    here is the proof you asked for this man died because his name was on   "
"3976","rt  how  deals with potential witnesses   tc"
"3977"," pulls training slide listing   as examples of insider threats tcoitnaeycgp "
"3978"," pulls training slide listing   as examples of insider threats tcoknvgtqtfdm "
"3979","rt  and trumps pulling thousands to his rallies and   is winning   tcougxdxjbzae"
"3980"," did  abide by ethics pledge on  tconukyjubwz   "
"3981","rt  how  deals with potential witnesses   tc"
"3982","how is  s paytoplay scheme a democracy even selecting the lesser of two evils is impossible tcohjblya"
"3983","rt   is nixon of the st century tcolpnuyfocka     t"
"3984","rt  a fiery debate w  this am on      hot topics and the debate"
"3985","  to be unfollowed by about a thousand or so people is a   w some form of adult "
"3986","rt    helps a bankand then it funnels millions to the     t"
"3987","rt  rt expose these criminal violationsas secstate  got   million on sale of us uranium to russiah"
"3988","rt  how can people not see how scary  is tcohkyifzk"
"3989","rt  a fiery debate w  this am on      hot topics and the debate"
"3990","rt   memoirs do not mention  regimes awful crackdown against peaceful protesters is this why "
"3991","rt  crooked hillary takes no responsibility and instead tries framing colin powelltcotbsleyfit"
"3992","rt   all if u criticize  online b prepared  confront her paid trolls tcownfnpzhwb t"
"3993","rt  big backers of  found in leaked swiss bank files report  intellihub   t"
"3994","rt  fbi rewrites statute to give  a pass me  tcoosliaprl"
"3995","rt  the  is under fire for shoddy  story tcoaqxytthih"
"3996","what the  doesand why  should point to it with pride tcontatnplfe tcophqiyxcdc"
"3997","rt    refuses to release names of  secret foreign donors  breitbart t"
"3998"," i blame "
"3999","rt   all if u criticize  online b prepared  confront her paid trolls tcownfnpzhwb t"
"4000","rt  the  is under fire for shoddy  story tcoaqxytthih"
"4001","rt   is nixon of the st century tcolpnuyfocka     t"
"4002","absolute insanity   days since  has held a press conference tcotxeclfnj  "
"4003","how many people can you feed on only  if youre eating with  tcouxyprwhh tcobcfrnqmsn"
"4004","rt   memoirs do not mention  regimes awful crackdown against peaceful protesters is this why "
"4005","  wants to pass more terrible trade deals like the tpp"
"4006","rt   all if u criticize  online b prepared  confront her paid trolls tcownfnpzhwb t"
"4007","rt  crooked hillary takes no responsibility and instead tries framing colin powelltcotbsleyfit"
"4008","rt    donors implicated in swiss tax scheme  the daily caller  tco"
"4009","who the hell is this  chick amp since when does she get to give civics and morality lessons to anybody including "
"4010","rt  ampareofamp"
"4011","rt  mt  field guide to defending  against trumpedup  scandals  the  "
"4012","lmao  is a about to kill off the remaining bulls ibb xbi"
"4013","rt   is nixon of the st century tcolpnuyfocka     t"
"4014","rt  isofamp"
"4015","rt   analyst accuses bill and  of monumental charity   your news wire  t"
"4016","heres what happens when  promises to target drug companies ibb tcozgcjrzbt"
"4017","did you know  was at  investigation team against  but was fired for lying   "
"4018","rt            clinton cash  tcodn"
"4019","rt  ampareofamp"
"4020"," analyst accuses bill and  of monumental charity   your news wire  tcogopwpwnfc"
"4021","frank bruni toenails it    tconjpklqyn"
"4022","and trumps pulling thousands to his rallies and   is winning   tcougxdxjbzae"
"4023","rt  speaking up for americans rnc calls on  to hold press conference amid foundation controversy  t"
"4024","rt  big backers of  found in leaked swiss bank files report  intellihub   t"
"4025","its back tconodizq is for sale on  tconafvusw    "
"4026","rt  bill and s charities got million of british aid cash  daily mail online   "
"4027","rt    helps a bankand then it funnels millions to the     t"
"4028","floridadont worry bout storms coming u voted    she has ur back    tconwazxooaw"
"4029","rt  mt  field guide to defending  against trumpedup  scandals  the  "
"4030","rt    helps a bankand then it funnels millions to the     t"
"4031"," prevented  from becoming the st female president of  emails reveal tcowpedjnxrik "
"4032","rt   all if u criticize  online b prepared  confront her paid trolls tcownfnpzhwb t"
"4033"," or  i think id just rather shoot myself in the foot    "
"4034","rt  in times of crisis america needs   in a leader  you dont possess either  "
"4035","rt  the  is under fire for shoddy  story tcoaqxytthih"
"4036","rt   advisor  helps finance  amp s in  through  http"
"4037","always      tcoxopqbptr"
"4038","rt    foundation received million in donations from hsbc swiss bank    of many "
"4039","rt   all if u criticize  online b prepared  confront her paid trolls tcownfnpzhwb t"
"4040","deliver us from hillary         tcojlarmrsmni"
"4041","see you on   at p to discuss s avoidance of the press and nonchalance about her emails "
"4042",NA
"4043","rt    helps a bankand then it funnels millions to the     t"
"4044"," is making very limited appearances because she knows the media is running her campaign  "
"4045","rt  crooked hillary takes no responsibility and instead tries framing colin powelltcotbsleyfit"
"4046","rt   is nixon of the st century tcolpnuyfocka     t"
"4047","rt            clinton cash  tcokx"
"4048","rt   thinks both  amp  should release medical records one has amp the other is  tc"
"4049","rt  crooked hillary takes no responsibility and instead tries framing colin powelltcotbsleyfit"
"4050","criminals shouldnt be eligible for presidency   "
"4051","rt   all if u criticize  online b prepared  confront her paid trolls tcownfnpzhwb t"
"4052"," pretty sure these were released about  tcoulzagcu"
"4053","rt            clinton cash  tcokx"
"4054","     is flawed shes corrupt liar deceptive nuts "
"4055","rt   vs  support among africanamerican voters tcoaiuiqpwo"
"4056","rt    foundation received million in donations from hsbc swiss bank    of many "
"4057","rt  this disgusting excuse for a woman worships the almighty dollar     tcojwfw"
"4058","rt   thinks both  amp  should release medical records one has amp the other is  tc"
"4059","rt  breaking  in  are mobilizing in groups to warn people about  rt   "
"4060","rt   is nixon of the st century tcolpnuyfocka     t"
"4061","  helps a bankand then it funnels millions to the     tcornpljaob"
"4062","rt   all if u criticize  online b prepared  confront her paid trolls tcownfnpzhwb t"
"4063","rt   is nixon of the st century tcolpnuyfocka     t"
"4064","this disgusting excuse for a woman worships the almighty dollar     tcojwfwgdidk"
"4065","rt  bill and s charities got million of british aid cash  daily mail online   "
"4066","  amp whether the public has a right to know  tcozboqcxwn   "
"4067","rt  watch  openly tell the crowd in india the us will never stop outsourcing jobs to them http"
"4068","  she lied beforeshe will lie again and again and again and she will never stop doing so  "
"4069","rt  bill and s charities got million of british aid cash  daily mail online   "
"4070","rt    foundation received million in donations from hsbc swiss bank    of many "
"4071","mt  field guide to defending  against trumpedup  scandals  the  tcoodomvghxy"
"4072","rt    donors implicated in swiss tax scheme  the daily caller  tco"
"4073","rt   is nixon of the st century tcolpnuyfocka     t"
"4074","why the election result     tcoqcpolerh tcoeiolgxa"
"4075","rt  our truth serum beer is going to  amp  time for us politics without the  htt"
"4076","why the election result     tcogarigeqzrg tcophpotnfg"
"4077","rt    donors implicated in swiss tax scheme  the daily caller  tco"
"4078","rt   vs  support among africanamerican voters tcoaiuiqpwo"
"4079","rt   people will die if the clinton foundation is shut down     tcojoakqxqe "
"4080","rt            clinton cash  tcokx"
"4081","prayreza forpor i give victory to my chosen  she is my own im her shepherd  jesus christ tcolqtbsesm"
"4082","rt   im a  registered  and i am  for  because  is too corrupt for"
"4083","rt  is this for real  is  recruiting illegal immigrants to vote video by  at  tco"
"4084"," likes  because he can buy access politician like her are nothing more than notso cheap hookers"
"4085","rt   thinks both  amp  should release medical records one has amp the other is  tc"
"4086","        gods message tcoevzovs"
"4087","  foundation received million in donations from hsbc swiss bank    of many tcomsinsubdr"
"4088"," post looking at each us state before novs elections today     tcomjpshqsvn"
"4089","how cool is friends with  who cares if shes an immoral liar im voting for her  "
"4090","rt  how  deals with potential witnesses   tc"
"4091","rt  breaking  in  are mobilizing in groups to warn people about  rt   "
"4092","rt    refuses to release names of  secret foreign donors  breitbart t"
"4093","hey   just sayin tcopneglhf"
"4094","rt   is nixon of the st century tcolpnuyfocka     t"
"4095","rt  bill and s charities got million of british aid cash  daily mail online   "
"4096","rt   training briefing listing   as insider threats is pulled tcogbvoirh"
"4097","i do believe that  is the st person to describe  as smart but somehow she can never recall anythingever"
"4098","rt   is nixon of the st century tcolpnuyfocka     t"
"4099","rt  crooked hillary takes no responsibility and instead tries framing colin powelltcotbsleyfit"
"4100","rt   vs  support among africanamerican voters tcoaiuiqpwo"
"4101"," showed during the show jimmy kimmel live her strengthtcoapfuovkh tcoxwtgfmvcfx"
"4102"," is nixon of the st century tcolpnuyfocka     tcovhwdezo"
"4103"," is nixon of the st century tconronzg     tcotgitsjg"
"4104","you want to vote for  look what she just did to the ibb  extrapolate that out to the rest of the economy  "
"4105","rt   thinks both  amp  should release medical records one has amp the other is  tc"
"4106","rt   vs  support among africanamerican voters tcoaiuiqpwo"
"4107","rt  speaking up for americans rnc calls on  to hold press conference amid foundation controversy  t"
"4108"," you seem to be an ethical person how can you support "
"4109","rt  how can people not see how scary  is tcohkyifzk"
"4110","rt    actions corrupted amp disgraced  of the most important departments of government"
"4111","the  has lost all credibility every news progm shld b on  abt the ap piece on  as much as "
"4112","rt  big backers of  found in leaked swiss bank files report  intellihub   t"
"4113","speaking up for americans rnc calls on  to hold press conference amid foundation controversy  tcoyefiuhrtgd"
"4114","rt  cash flowed to  amid russian uranium deal  tcowuzurwacn   tc"
"4115","will  purposely screw the very people that give her millions    tcohgmwhhglwe"
"4116","rt  how  deals with potential witnesses   tc"
"4117","rt   in  world we have one set of rules for her and another set of rules for everyone else"
"4118","rt   also met representatives of  foreign governments that gave  million to   t"
"4119","rt  crooked hillary takes no responsibility and instead tries framing colin powelltcotbsleyfit"
"4120","rt  its a disgrace for any  to support   protected multi  accused  as a potus candida"
"4121","journalists arent allowed into  fundraisers how about some undercover recordings like  did to  "
"4122","bill and s charities got million of british aid cash  daily mail online   tcojpcdimrr"
"4123","rt    here is the proof you asked for this man died because his name was on   "
"4124","almost exact line she used to get huma to sleep with her    tcobdanupy"
"4125",NA
"4126","rt  the  is under fire for shoddy  story tcoaqxytthih"
"4127","rt   also met representatives of  foreign governments that gave  million to   t"
"4128","new economist ntl poll      tcobddwifb"
"4129","rt    both in marthas vineyard after  floods tcobkcgjnql tcosatyydtu"
"4130","rt    refuses to release names of  secret foreign donors  breitbart t"
"4131","rt  crooked hillary takes no responsibility and instead tries framing colin powelltcotbsleyfit"
"4132",NA
"4133","rt    clearly this is all just cynical politics used to make a good thing charity sound bad to hurt "
"4134"," hillary clinton is a lying war mongering bitch who will bring america down "
"4135","rt            clinton cash  tcokx"
"4136","rt  this is for  sheepleno no clintonette tcolnppklugan tcoxkhutjm"
"4137","rt  the truth     tconsvfvjdx"
"4138","rt  the  is under fire for shoddy  story tcoaqxytthih"
"4139","massive immigration  forced assimilation is  according to the law tcoztghwntm "
"4140","what a scam they take in billions and only  is given now thats a racket pay for play  media liar tcotsfbqgwfer"
"4141",NA
"4142","  donors implicated in swiss tax scheme  the daily caller  tcozgxzhlych"
"4143","rt  raising money for   sounds off and not just about trumptcollxeyfwghw  "
"4144","mark cuban butts heads with carl icahn over hillary tcoibjzpaof    "
"4145"," is part of the media partnership because of the bias tone reporting  tcotcdkngifa"
"4146"," campaign which now says poll results wrong will say  wrong and rigged if  won the race"
"4147","meet the  lifelong  breaking with party over  to support  tcoawssuc"
"4148",NA
"4149","rt  the  is under fire for shoddy  story tcoaqxytthih"
"4150","rt  breaking  in  are mobilizing in groups to warn people about  rt   "
"4151","rt  the truth     tconsvfvjdx"
"4152","rt            clinton cash  tcokx"
"4153","they want you silent   tcobchrfxy"
"4154",NA
"4155","big backers of  found in leaked swiss bank files report  intellihub   tconxepbspds"
"4156"," training briefing listing   as insider threats is pulled tcogbvoirh"
"4157","rt   is bleeding  death  is a dirty spank rag amp  is a tourniquet which r u gonna pick"
"4158","rt   im a  registered  and i am  for  because  is too corrupt for"
"4159",NA
"4160","church of  lobbied s state department  the daily caller  tcoatzzcqgvo"
"4161","rt  this is for  sheepleno no clintonette tcolnppklugan tcoxkhutjm"
"4162","rt  breaking  in  are mobilizing in groups to warn people about  rt   "
"4163","when an army unit returns from service in iraq or afghanistan it barely gets a breather be   tcosvaxskui"
"4164","rt  no respectable woman would vote  she represents everything we have been fighting against rapist enabler"
"4165","hey  crowd thanks for helping me beat  couldnt have done it without your writein "
"4166","rt    clearly this is all just cynical politics used to make a good thing charity sound bad to hurt "
"4167","rt   in   race wont support      tcookoghfwl"
"4168","rt   im a  registered  and i am  for  because  is too corrupt for"
"4169","rt  think about it  supporters she receives money from countries who sponsored the  attacks tcoqe"
"4170","rt  because  does not include  in it not in any shape not in any capacity never tcobkw"
"4171","rt  how  deals with potential witnesses   tc"
"4172","rt   has a past of serial dishonesty its not just every now and then its everything do you really want thi"
"4173","what  hid at the   for    tcoslzfdhnw via   tcowjzhgxbwc"
"4174","fbi files related to  and vincent suicide  tcovgpzkwqb via "
"4175","rt  how  deals with potential witnesses   tc"
"4176","feelin it          tcoajknyhpjmi"
"4177","rt    again  says  is a    http"
"4178","cash flowed to  amid russian uranium deal  tcowuzurwacn   tcopdueguooa"
"4179","rt  how can people not see how scary  is tcohkyifzk"
"4180","rt            clinton cash  tcokx"
"4181","rt    voters do not carethey do not listen amp agree to elect a woman they know thief corrupt"
"4182","rt  how  deals with potential witnesses   tc"
"4183","rt  ignorance is bliss      tcononyixhlxt"
"4184"," ltbecause of the bias tone reporting don lemon is part of the media partnership tcotcdkngifa"
"4185","as the  story gains momentum watch  keep distance from  he did not attend bubbas bday bash on mv"
"4186","rt  in costcutting measure  will now broadcast directly from s house not sure which house yet rt ht"
"4187","rt  longtime christie aide maria comella says shes voting for  tcoxgkeqdawus tcowvhuudaq"
"4188","rt    refuses to release names of  secret foreign donors  breitbart t"
"4189"," watching live  now trump rallyrudy giuliani slamming the clintonsespecially  "
"4190","rt  the  is under fire for shoddy  story tcoaqxytthih"
"4191","media using  to distract from  shady financial dealings tcogrrvxquvxi  "
"4192","rt    refuses to release names of  secret foreign donors  breitbart t"
"4193","hillary clinton on gaddafi we came we saw he died       tcotwldeqvz"
"4194","rt  crooked hillary takes no responsibility and instead tries framing colin powelltcotbsleyfit"
"4195","rt  new details surface about s top aide amp her ties to radical muslim journal tcotzwzubgg tc"
"4196","its not complicated  perjured herself so many times prosecutionpenalty should follow as law is clearly written "
"4197","  refuses to release names of  secret foreign donors  breitbart tcoloxgst"
"4198"," takes  from oil companies is not a friend of     tcoxfmrgdfz"
"4199","rt  how  deals with potential witnesses   tc"
"4200","rt  crooked hillary takes no responsibility and instead tries framing colin powelltcotbsleyfit"
"4201","rt   vs  support among africanamerican voters tcoaiuiqpwo"
"4202","wish more people would look at  foundation     tcontoxkrgng"
"4203","rt   sold out worker colombia         "
"4204"," marked as insider  for  by army administrator tcokpwhohfy tcozfoibond"
"4205","rt  the  is under fire for shoddy  story tcoaqxytthih"
"4206","it was johnny hopkins and diane reynolds and they were blazing that shit up every day    "
"4207","you feel sometimes when you hear analysts and knowledgeable people talking about iran that    tcocxypdiexw"
"4208","rt    clearly this is all just cynical politics used to make a good thing charity sound bad to hurt "
"4209","we will not allow   ways we need to go out in masses to vote   tconuyvalnx"
"4210","rand paul says stopping  is reason to vote for      tcojtxgfneu"
"4211","  hitting a grand slam against   rally live  on "
"4212","us army lists  as a threat  tcolihrlpo"
"4213","rt  its a disgrace for any  to support   protected multi  accused  as a potus candida"
"4214","the attack on the free press will only make it stronger  is an evil bitch   tcohgxmtiq"
"4215","rt  watch new  rocks hillary clinton campaign video tcogboivevwa    "
"4216"," youre a disgusting trumpster your day is over    tcolqjbqbeqi"
"4217","even putin knows whats going on with     tcozwotjfrk"
"4218","   with party   to   tcolxwmlsye"
"4219","rt  how is it humanly possible that  might be our next president   tc"
"4220","rt   im a  registered  and i am  for  because  is too corrupt for"
"4221","its going to be an ugly  in a country that no longer recognises itselfc despatches scary documentary "
"4222","rt     were  accomplishments as     h"
"4223","this health propaganda on  is a very soviet union era tactic  read up on that history  "
"4224"," in   race wont support      tcookoghfwl"
"4225","   not so much to "
"4226"," why dont you focus on  and dnc lies deceit and corruption  "
"4227","rt  the  is under fire for shoddy  story tcoaqxytthih"
"4228","rt            clinton cash  tcokx"
"4229","rt   of s  private chats while  were with  donors who together gave mn "
"4230"," goes on fundraising swing through silicon valley on wednesday tcoamuaurugx"
"4231"," goes on fundraising swing through silicon valley on wednesday tcownnieyjb"
"4232"," goes on fundraising swing through silicon valley on wednesday tcohrclrladjz"
"4233","  clearly this is all just cynical politics used to make a good thing charity sound bad to hurt  "
"4234"," waffles  on  against  tcomipenwiou   "
"4235"," to be questioned under oath on origins of email server tcotvshppry tcotegjefmk"
"4236","rt  crooked hillary takes no responsibility and instead tries framing colin powelltcotbsleyfit"
"4237","rt   vs  support among africanamerican voters tcoaiuiqpwo"
"4238","rt  am i the only one to notice  didnt get a jar pop from opening jar of pickles   tco"
"4239","this is way more fun than wheres waldo   tcofqwuunvkx"
"4240","rt  oops  discovered  more emails that shouldnt have been deleted s ongoing email troubles ht"
"4241","rt   im a  registered  and i am  for  because  is too corrupt for"
"4242","rt   vs  support among africanamerican voters tcoaiuiqpwo"
"4243","rt   vs  support among africanamerican voters tcoaiuiqpwo"
"4244","rt  new  increase questions about  s  amp   read this one from  abedin "
"4245","rt  the  is under fire for shoddy  story tcoaqxytthih"
"4246","rt   in ratings freefall as it more or less becomes extension of  campaign rips  t"
"4247","rt  oops  discovered  more emails that shouldnt have been deleted s ongoing email troubles ht"
"4248","rt  the  is under fire for shoddy  story tcoaqxytthih"
"4249","rt  crooked hillary takes no responsibility and instead tries framing colin powelltcotbsleyfit"
"4250"," media shill  complains  has no press conference but not s lack of one tcokzfeqpdex"
"4251","rt  rt  demandamp type hearinginvestigateby"
"4252","rt  payforplay hillary      tcoswmozplw tco"
"4253","rt  how can people not see how scary  is tcohkyifzk"
"4254","rt  its scarier that  supporters agree with her    tcokcf"
"4255","rt  new details surface about s top aide amp her ties to radical muslim journal tcotzwzubgg tc"
"4256","new revelations show a nation for sale under  tcojmsnobysh "
"4257"," would increase the already outrageous bn annual us subsidy to  a  regimetcotfgywcemnq"
"4258","rt   in ratings freefall as it more or less becomes extension of  campaign rips  t"
"4259"," is growing ghettos larger for votes amp kkk     share"
"4260","rt   im a  registered  and i am  for  because  is too corrupt for"
"4261","   one can make an appearance and promote oneself without a press conference ahem   "
"4262","oops  discovered  more emails that shouldnt have been deleted s ongoing email troubles tcofokmwxt"
"4263","rt   is worried now tcorpbbgxnlc"
"4264","rt  crooked hillary takes no responsibility and instead tries framing colin powelltcotbsleyfit"
"4265","rt  its a disgrace for any  to support   protected multi  accused  as a potus candida"
"4266","many donors to clinton foundation met with  at state dept tcolzmxxgat"
"4267","ktalk brieftalker immigration congressman gutierrez      tcowxriguhb"
"4268","rt            clinton cash  tcodn"
"4269","the  tapes      tcormlmegjek"
"4270","rt  rd parties arent spoilers theyre at the cutting edge of democracy is the spoiler of democracy"
"4271","rt   the american people are tired of liars and people who pretend to be something theyre not t"
"4272","rt   im a  registered  and i am  for  because  is too corrupt for"
"4273","rt  the  is under fire for shoddy  story tcoaqxytthih"
"4274","rt            clinton cash  tcodn"
"4275","rt  the  is under fire for shoddy  story tcoaqxytthih"
"4276","rt  because  does not include  in it not in any shape not in any capacity never tcobkw"
"4277","rt   defended a child rapist and laughed about it but shes a champion of women and childrens rights"
"4278","rt   im a  registered  and i am  for  because  is too corrupt for"
"4279","rt   defended her husband raping women but shes a champion of women and childrens rights"
"4280","rt  watch  expose crooked s lies and law breaking in epic fashion  http"
"4281","rt  chris hedges speaks with ralph nader  amp    "
"4282","great   vine by yung french fry tcotpenrojxn"
"4283","rt  new revelations show a nation for sale under    attn    tcog"
"4284","remember how liberals attacked  now they support  warmonger  tcogyywubj"
"4285","rt  ny post headline nails  spoton  corruption knows no limits tcowoaphqmqc"
"4286"," this is s real name tcojrojolxhj"
"4287","its a disgrace for any  to support   protected multi  accused  as a potus candidate for our "
"4288","rt  how  deals with potential witnesses   tc"
"4289","rt   calls for indictment of  amp he isnt even for tcoqvqclmswpi "
"4290","rt  retweet if you predict  will crush  and become the th president of the  vote  "
"4291",NA
"4292","wikileaks  emails between hillary and chelsea using her fake name tcooyoziirz   "
"4293","rt   live weds aug       tcoyylqqdo t"
"4294","rt  how  deals with potential witnesses   tc"
"4295","rt  fbi docs linked to  role in s suicide missing  report tcoufxpbrq tcod"
"4296","rt  check out  s first television ad of the general election    tco"
"4297","good point re  amp the  war tcofrxybsor tcobktklk"
"4298","rt   im a  registered  and i am  for  because  is too corrupt for"
"4299","rt  new  increase questions about  s  amp   read this one from  abedin "
"4300","rt   im a  registered  and i am  for  because  is too corrupt for"
"4301","rt  crooked hillary takes no responsibility and instead tries framing colin powelltcotbsleyfit"
"4302","rt  poll  leads over  in   he never was behind her anywhere lol    t"
"4303","rt  breaking  in  are mobilizing in groups to warn people about  rt   "
"4304","rt   vs  support among africanamerican voters tcoaiuiqpwo"
"4305","love the way that  and  hold it down for  on     "
"4306","  voters do not carethey do not listen amp agree to elect a woman they know thief corrupttcowpkbjbewlt"
"4307"," its not so i do really like  so much like my mother take no shit personality  "
"4308","rt   im a  registered  and i am  for  because  is too corrupt for"
"4309","its not a conspiracy by her own admission  is sick tcofiwdffivq"
"4310"," theories signal fear in this case s realization that  may well win tcojboenzeogi"
"4311"," dont be like  amp other  who help get  elected by obsessing on one issue they dont like"
"4312","rt    asked for parkinsons drug     "
"4313"," thats bullshit with  showing up   rallies and  having  use hs students  fill hershooey"
"4314","diff bet  amp  she has some character flaws we all do hes a flawed character tcowxapeqpo "
"4315","rt   vs  support among africanamerican voters tcoaiuiqpwo"
"4316","crooked hillary takes no responsibility and instead tries framing colin powelltcotbsleyfit"
"4317","rt    caught faking feat      "
"4318","rt  corporate  is biggest conflict of interest for  and tconwsshkfr t"
"4319","poll  leads over  in   he never was behind her anywhere lol    tcovowmhft"
"4320","note to  tell the  and  you will broker a merger between the  and the "
"4321",NA
"4322","what does  say to   lets guess  tcossydnncj tcolzbskxmtf"
"4323","hillary didnt feel well enough to fly commercial needed air force jet tcorlwgzjc s "
"4324","rt  breaking  in  are mobilizing in groups to warn people about  rt   "
"4325","rt    asked for parkinsons drug     "
"4326","wow  is a  in todays  yay     tcolbalwwq"
"4327","sounds like i did not have sexual relations with that woman ms lewinsky birds of a feather  tcocfjrdzcf"
"4328","rt    asked for parkinsons drug     "
"4329","hillary health coverup implodes tconitslqyjn via    "
"4330","rt  new details surface about s top aide amp her ties to radical muslim journal tcotzwzubgg tc"
"4331","rt  the  is under fire for shoddy  story tcoaqxytthih"
"4332","s lawyer commits arkancide   tcoexobnave"
"4333","  caught faking feat      tcovvduvd"
"4334","rt   what if  had gone into bankruptcy thrice  "
"4335","hillary amp huma influence peddling corruption tcokfivzkmk via tcoxjlokglf  "
"4336","rt  the  is under fire for shoddy  story tcoaqxytthih"
"4337","ny post headline nails  spoton  corruption knows no limits tcowoaphqmqc"
"4338","rt    asked for parkinsons drug     "
"4339","rt  new details surface about s top aide amp her ties to radical muslim journal tcotzwzubgg tc"
"4340","rt            clinton cash  tcokx"
"4341","rt   is perfect for     tcohlwaj"
"4342","rt   vs  support among africanamerican voters tcoaiuiqpwo"
"4343","  asked for parkinsons drug     tconuukeoiw"
"4344","miss our direction  truth radio show last night listen to the importance of hillarys health here tcogqfwldemg "
"4345","rt            clinton cash  tcokx"
"4346","rt   exposed    information  friend now murdered via   hmmm tco"
"4347","rt   sold out worker colombia         "
"4348","rt   vs  support among africanamerican voters tcoaiuiqpwo"
"4349","rt  will colbert mock  when shes bombing small countries doubtful tcomcmvygg"
"4350","rt  the  is under fire for shoddy  story tcoaqxytthih"
"4351"," suggestion you need to start tweeting to   i never see your informative tweets there"
"4352","rt    r the most crupt administration wouldnt trust wth fish let alone amp america future  http"
"4353","rt     of gop  ind find  unfavorable  impressive  lol tcobjwninje"
"4354","rt  bought and paid for   tcolhvbho"
"4355","us  pulls  picture used in training manuals tcomsvikdwox"
"4356","hillarys hidden healthcare headache tcooiziwdtw  via "
"4357",NA
"4358","rt   meet the switchers why  democrats voted for  tcotmlajiq"
"4359","rt  her qualifications    tcoanjdybqvs"
"4360",NA
"4361","rt  of course  has mental and physical health problems she works for the sickest companies in america "
"4362","rt  is this for real  is  recruiting illegal immigrants to vote video by  at  tco"
"4363",NA
